,hour,MovementInteractions
0,0,2011
1,1,1038
2,2,1265
3,3,585
4,4,791
5,5,925
6,6,783
7,7,758
8,8,1001
9,9,357
10,10,631
11,11,649
12,12,958
13,13,1533
14,14,4135
15,15,5023
16,16,5314
17,17,4908
18,18,4616
19,19,5049
20,20,6256
21,21,6871
22,22,5855
23,23,4229
